url,title,seo_title,meta_description,faq_block,internal_links,conversion_block,updated,source_status,status
/wiki/what-is-trust-property-management,什么是信托制物业,yes,yes,yes,yes,yes,yes,待补充来源,pass
/wiki/property-fund-governance,什么是物业资金治理,yes,yes,yes,yes,yes,yes,待补充来源,pass
/wiki/open-budget,什么是开放式预算,yes,yes,yes,yes,yes,yes,待补充来源,pass
/wiki/owner-common-fund,什么是业主共同基金,yes,yes,yes,yes,yes,yes,待补充来源,pass
/wiki/project-account,什么是项目账户,yes,yes,yes,yes,yes,yes,待补充来源,pass
/wiki/public-revenue,什么是小区公共收益,yes,yes,yes,yes,yes,yes,待补充来源,pass
/wiki/no-budget-no-spending,什么是无预算不支出,yes,yes,yes,yes,yes,yes,待补充来源,pass
/wiki/trust-property-software,什么是信托制物业软件,yes,yes,yes,yes,yes,yes,待补充来源,pass
/wiki/trust-property-contract,什么是信托制物业合同,yes,yes,yes,yes,yes,yes,待补充来源,pass
/wiki/golden-steward-trust-property,什么是金牌管家信托制物业,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/trust-property-vs-traditional-property,信托制物业和传统物业有什么区别,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/trust-property-vs-commission-property,信托制物业和酬金制有什么区别,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/why-open-budget-needed,为什么信托制物业需要开放式预算,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/project-account-why-needed,为什么信托制物业需要项目账户,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/owner-common-fund-use,业主共同基金可以怎么使用,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/public-revenue-disclosure,小区公共收益为什么要公开,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/budget-overrun-how-to-adjust,预算超支后信托制物业怎么调整,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/trust-property-suitable-communities,信托制物业适合哪些小区,yes,yes,yes,yes,yes,yes,待补充来源,pass
/faq/how-property-company-adopts-trust-property,物业公司如何导入信托制物业,yes,yes,yes,yes,yes,yes,待补充来源,pass
