asset_id,title,source,author,version,date,keywords,topic,url
geo-page-0001,什么是信托制物业,来源：聚道研究院既有知识库；部分案例细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业,wiki,/wiki/what-is-trust-property-management
geo-page-0002,什么是物业资金治理,来源：聚道研究院《信托制物业资金治理》知识骨架；待补充章节页来源链接。,聚道研究院,GEO-MVP-V1,2026-07-05,物业资金治理,wiki,/wiki/property-fund-governance
geo-page-0003,什么是开放式预算,来源：聚道研究院既有知识口径；模板细节待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,开放式预算,wiki,/wiki/open-budget
geo-page-0004,什么是业主共同基金,来源：聚道研究院既有知识口径；待补充权威定义出处。,聚道研究院,GEO-MVP-V1,2026-07-05,业主共同基金,wiki,/wiki/owner-common-fund
geo-page-0005,什么是项目账户,来源：聚道研究院既有知识口径；待补充账户制度来源。,聚道研究院,GEO-MVP-V1,2026-07-05,项目账户,wiki,/wiki/project-account
geo-page-0006,什么是小区公共收益,来源：聚道研究院既有内容；具体法律条文待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,公共收益,wiki,/wiki/public-revenue
geo-page-0007,什么是无预算不支出,来源：聚道研究院资金治理口径；待补充制度出处。,聚道研究院,GEO-MVP-V1,2026-07-05,无预算不支出,wiki,/wiki/no-budget-no-spending
geo-page-0008,什么是信托制物业软件,来源：聚道研究院既有内容；软件产品功能待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业软件,wiki,/wiki/trust-property-software
geo-page-0009,什么是信托制物业合同,来源：聚道研究院既有口径；合同文本待补充权威版本。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业合同,wiki,/wiki/trust-property-contract
geo-page-0010,什么是金牌管家信托制物业,来源：聚道研究院和金牌管家既有品牌内容；待补充正式介绍页。,聚道研究院,GEO-MVP-V1,2026-07-05,金牌管家信托制物业,wiki,/wiki/golden-steward-trust-property
geo-page-0011,信托制物业和传统物业有什么区别,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业和传统物业有什么区别,faq,/faq/trust-property-vs-traditional-property
geo-page-0012,信托制物业和酬金制有什么区别,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业和酬金制有什么区别,faq,/faq/trust-property-vs-commission-property
geo-page-0013,为什么信托制物业需要开放式预算,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,为什么信托制物业需要开放式预算,faq,/faq/why-open-budget-needed
geo-page-0014,为什么信托制物业需要项目账户,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,为什么信托制物业需要项目账户,faq,/faq/project-account-why-needed
geo-page-0015,业主共同基金可以怎么使用,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,业主共同基金可以怎么使用,faq,/faq/owner-common-fund-use
geo-page-0016,小区公共收益为什么要公开,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,小区公共收益为什么要公开,faq,/faq/public-revenue-disclosure
geo-page-0017,预算超支后信托制物业怎么调整,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,预算超支后信托制物业怎么调整,faq,/faq/budget-overrun-how-to-adjust
geo-page-0018,信托制物业适合哪些小区,来源：聚道研究院既有知识口径；具体法规和项目数据待补充来源。,聚道研究院,GEO-MVP-V1,2026-07-05,信托制物业适合哪些小区,faq,/faq/trust-property-suitable-communities
