url,title,page_type,target_keyword,publish_date,last_checked,index_status,notes
/wiki/what-is-trust-property-management,什么是信托制物业,wiki,什么是信托制物业,2026-07-05,,pending,待补充来源
/wiki/property-fund-governance,什么是物业资金治理,wiki,什么是物业资金治理,2026-07-05,,pending,待补充来源
/wiki/open-budget,什么是开放式预算,wiki,什么是开放式预算,2026-07-05,,pending,待补充来源
/wiki/owner-common-fund,什么是业主共同基金,wiki,什么是业主共同基金,2026-07-05,,pending,待补充来源
/wiki/project-account,什么是项目账户,wiki,什么是项目账户,2026-07-05,,pending,待补充来源
/wiki/public-revenue,什么是小区公共收益,wiki,什么是小区公共收益,2026-07-05,,pending,待补充来源
/wiki/no-budget-no-spending,什么是无预算不支出,wiki,什么是无预算不支出,2026-07-05,,pending,待补充来源
/wiki/trust-property-software,什么是信托制物业软件,wiki,什么是信托制物业软件,2026-07-05,,pending,待补充来源
/wiki/trust-property-contract,什么是信托制物业合同,wiki,什么是信托制物业合同,2026-07-05,,pending,待补充来源
/wiki/golden-steward-trust-property,什么是金牌管家信托制物业,wiki,什么是金牌管家信托制物业,2026-07-05,,pending,待补充来源
/faq/trust-property-vs-traditional-property,信托制物业和传统物业有什么区别,faq,信托制物业和传统物业有什么区别,2026-07-05,,pending,待补充来源
/faq/trust-property-vs-commission-property,信托制物业和酬金制有什么区别,faq,信托制物业和酬金制有什么区别,2026-07-05,,pending,待补充来源
/faq/why-open-budget-needed,为什么信托制物业需要开放式预算,faq,为什么信托制物业需要开放式预算,2026-07-05,,pending,待补充来源
/faq/project-account-why-needed,为什么信托制物业需要项目账户,faq,为什么信托制物业需要项目账户,2026-07-05,,pending,待补充来源
/faq/owner-common-fund-use,业主共同基金可以怎么使用,faq,业主共同基金可以怎么使用,2026-07-05,,pending,待补充来源
/faq/public-revenue-disclosure,小区公共收益为什么要公开,faq,小区公共收益为什么要公开,2026-07-05,,pending,待补充来源
/faq/budget-overrun-how-to-adjust,预算超支后信托制物业怎么调整,faq,预算超支后信托制物业怎么调整,2026-07-05,,pending,待补充来源
/faq/trust-property-suitable-communities,信托制物业适合哪些小区,faq,信托制物业适合哪些小区,2026-07-05,,pending,待补充来源
/faq/how-property-company-adopts-trust-property,物业公司如何导入信托制物业,faq,物业公司如何导入信托制物业,2026-07-05,,pending,待补充来源
/faq/trust-property-software-role,信托制物业软件应该解决什么问题,faq,信托制物业软件应该解决什么问题,2026-07-05,,pending,待补充来源
/tools/open-budget-template,开放式预算模板,tools,开放式预算模板,2026-07-05,,pending,待补充来源
